Date Time;NOx;NO2;NO;SiteID;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;RH;Air Pressure;Location;geo_point_2d;DateStart;DateEnd;Current
2004-05-14T07:00:00+00:00;73.0;42.0;20.0;188;14.0;;;;;;0.2;38.0;3.0;;;;AURN Bristol Centre;51.4572041156,-2.58564914143;;;False
2004-05-14T07:00:00+00:00;993.75;148.25;551.25;206;;;;;;;;;;;;;Rupert Street;51.4554331987,-2.59626237324;2003-01-01T00:00:00+00:00;2015-12-31T00:00:00+00:00;False
2004-05-14T09:00:00+00:00;212.5;70.5;92.5;215;;;;;;;;;;;;;Parson Street School;51.432675707,-2.60495665673;2002-02-01T00:00:00+00:00;;True
2004-05-14T09:00:00+00:00;142.25;54.75;56.5;270;;;;;;;;;;;;;Wells Road;51.4278638883,-2.56374153315;2003-05-23T00:00:00+00:00;;True
2004-05-14T09:00:00+00:00;65.4;36.11;19.1;271;;;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929;2004-03-01T00:00:00+00:00;2009-03-01T00:00:00+00:00;False
2004-05-14T10:00:00+00:00;78.0;44.0;23.0;188;23.0;;;;;;0.1;52.0;3.0;;;;AURN Bristol Centre;51.4572041156,-2.58564914143;;;False
2004-05-14T10:00:00+00:00;40.0;14.0;12.25;203;;;;;;;;;;;;;Brislington Depot;51.4417471802,-2.55995583224;2001-01-01T00:00:00+00:00;;True
2004-05-14T12:00:00+00:00;123.0;54.0;45.25;270;;;;;;;;;;;;;Wells Road;51.4278638883,-2.56374153315;2003-05-23T00:00:00+00:00;;True
2004-05-14T13:00:00+00:00;53.0;32.0;14.0;188;23.0;;;;;;0.2;56.0;3.0;;;;AURN Bristol Centre;51.4572041156,-2.58564914143;;;False
2004-05-14T14:00:00+00:00;173.5;69.25;67.75;270;;;;;;;;;;;;;Wells Road;51.4278638883,-2.56374153315;2003-05-23T00:00:00+00:00;;True
2004-05-14T16:00:00+00:00;761.75;143.25;403.25;206;;;;;;;;;;;;;Rupert Street;51.4554331987,-2.59626237324;2003-01-01T00:00:00+00:00;2015-12-31T00:00:00+00:00;False
2004-05-14T16:00:00+00:00;46.07;30.72;10.0;271;;;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929;2004-03-01T00:00:00+00:00;2009-03-01T00:00:00+00:00;False
2004-05-14T18:00:00+00:00;526.25;123.25;262.75;206;;;;;;;;;;;;;Rupert Street;51.4554331987,-2.59626237324;2003-01-01T00:00:00+00:00;2015-12-31T00:00:00+00:00;False
2004-05-14T18:00:00+00:00;160.75;65.25;62.25;270;;;;;;;;;;;;;Wells Road;51.4278638883,-2.56374153315;2003-05-23T00:00:00+00:00;;True
2004-05-14T20:00:00+00:00;182.0;82.25;65.25;270;;;;;;;;;;;;;Wells Road;51.4278638883,-2.56374153315;2003-05-23T00:00:00+00:00;;True
2004-05-14T21:00:00+00:00;161.0;72.5;57.5;215;;;;;;;;;;;;;Parson Street School;51.432675707,-2.60495665673;2002-02-01T00:00:00+00:00;;True
2004-05-15T00:00:00+00:00;100.0;33.75;31.5;203;;;;;;;;;;;;;Brislington Depot;51.4417471802,-2.55995583224;2001-01-01T00:00:00+00:00;;True
2004-05-15T00:00:00+00:00;59.25;35.75;15.5;215;;;;;;;;;;;;;Parson Street School;51.432675707,-2.60495665673;2002-02-01T00:00:00+00:00;;True
2004-05-15T01:00:00+00:00;37.96;31.71;4.08;271;;;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929;2004-03-01T00:00:00+00:00;2009-03-01T00:00:00+00:00;False
